country,value,date,fuel_type
SWITZERLAND,26414.0,201611,All
AUSTRIA,25662.0,201612,All
BELGIUM,33523.0,201612,All
BULGARIA,3555.0,201612,All
CROATIA,3383.0,201612,All
CYPRUS,818.0,201612,All
CZECH REPUBLIC,21913.0,201612,All
DENMARK,19394.0,201612,All
ESTONIA,1304.0,201612,All
FINLAND,8146.0,201612,All
FRANCE,194372.0,201612,All
GERMANY,256533.0,201612,All
GREECE,4765.0,201612,All
HUNGARY,9750.0,201612,All
IRELAND,430.0,201612,All
ITALY,124438.0,201612,All
LATVIA,1144.0,201612,All
LITHUANIA,1418.0,201612,All
LUXEMBOURG,3065.0,201612,All
NETHERLANDS,35723.0,201612,All
POLAND,43721.0,201612,All
PORTUGAL,16988.0,201612,All
ROMANIA,9331.0,201612,All
SLOVAKIA,8010.0,201612,All
SLOVENIA,4078.0,201612,All
SPAIN,96886.0,201612,All
SWEDEN,37281.0,201612,All
UNITED KINGDOM,178022.0,201612,All
ICELAND,706.0,201612,All
NORWAY,13602.0,201612,All
SWITZERLAND,35325.0,201612,All
AUSTRIA,26352.0,201701,All
BELGIUM,51701.0,201701,All
BULGARIA,1802.0,201701,All
CROATIA,2807.0,201701,All
CYPRUS,1243.0,201701,All
CZECH REPUBLIC,20818.0,201701,All
DENMARK,19534.0,201701,All
ESTONIA,2026.0,201701,All
FINLAND,12742.0,201701,All
FRANCE,153046.0,201701,All
GERMANY,241399.0,201701,All
GREECE,6460.0,201701,All
HUNGARY,6418.0,201701,All
IRELAND,38991.0,201701,All
ITALY,171556.0,201701,All
LATVIA,1445.0,201701,All
LITHUANIA,1829.0,201701,All
LUXEMBOURG,4108.0,201701,All
NETHERLANDS,51536.0,201701,All
POLAND,38076.0,201701,All
