"Object","Close-Approach (CA) Date","CA Distance Nominal (LD | au)","CA Distance Minimum (LD | au)","V relative (km/s)","V infinity (km/s)","H (mag)","Estimated Diameter",""
"(2005 TK50)","2005-Oct-10 04:03 ±    00:41","0.35 | 0.00089","0.24 | 0.00062","18.03","17.86","29.1","4.0 m -  9.0 m","bK05T50K"
"(2016 VA)","2016-Nov-02 00:42 ± < 00:01","0.25 | 0.00063","0.24 | 0.00063","21.24","21.04","27.6","8.0 m -   18 m","bK16V00A"
"(2017 WA14)","2017-Nov-21 19:53 ± < 00:01","0.25 | 0.00063","0.25 | 0.00063","16.39","16.13","27.4","8.8 m -   20 m","bK17W14A"
"(2011 GP28)","2011-Apr-06 19:38 ±    00:15","0.25 | 0.00064","0.25 | 0.00063","14.81","14.53","29.4","3.5 m -  7.8 m","bK11G28P"
"(2012 TC4)","2012-Oct-12 05:30 ± < 00:01","0.25 | 0.00063","0.25 | 0.00063","7.12","6.51","26.7","12 m -   27 m","bK12T04C"
"(2019 QQ3)","2019-Aug-26 15:14 ±    00:01","0.25 | 0.00064","0.25 | 0.00063","19.73","19.52","29.3","3.7 m -  8.2 m","bK19Q03Q"
"(2014 AF5)","2014-Jan-01 16:13 ±    00:01","0.25 | 0.00064","0.25 | 0.00064","14.62","14.33","28.8","4.6 m -   10 m","bK14A05F"
"(2015 XJ351)","2047-Jun-06 09:07 ± 5_14:10","0.79 | 0.00203","0.25 | 0.00064","15.84","15.76","22.4","88 m -  200 m","bK15XZ1J"
"(2018 CF2)","2018-Feb-06 19:16 ± < 00:01","0.25 | 0.00065","0.25 | 0.00065","13.54","13.23","28.0","6.7 m -   15 m","bK18C02F"
"(2016 RD34)","2047-Sep-05 11:11 ±    06:15","0.27 | 0.00069","0.25 | 0.00065","3.01","1.16","27.6","8.0 m -   18 m","bK16R34D"
"(2007 XB23)","2007-Dec-13 04:03 ±    00:27","0.26 | 0.00067","0.25 | 0.00065","5.38","4.57","27.1","10 m -   23 m","bK07X23B"
"(2014 TL)","2014-Oct-01 15:59 ± < 00:01","0.26 | 0.00066","0.25 | 0.00066","11.12","10.75","27.8","7.3 m -   16 m","bK14T00L"
"(2019 YU2)","2019-Dec-23 19:28 ± < 00:01","0.26 | 0.00066","0.26 | 0.00066","15.63","15.37","27.4","8.8 m -   20 m","bK19Y02U"
"(2017 JA)","2017-May-02 07:24 ± < 00:01","0.26 | 0.00067","0.26 | 0.00067","16.03","15.77","29.1","4.0 m -  9.0 m","bK17J00A"
"(2019 AE9)","2019-Jan-12 11:09 ± < 00:01","0.26 | 0.00067","0.26 | 0.00067","19.22","19.01","27.2","9.7 m -   22 m","bK19A09E"
"(2017 TH5)","2017-Oct-16 17:16 ± < 00:01","0.26 | 0.00067","0.26 | 0.00067","12.06","11.72","28.4","5.6 m -   12 m","bK17T05H"
"(2017 FU102)","2036-Apr-02 23:31 ±    14:22","0.34 | 0.00086","0.26 | 0.00067","7.65","7.24","28.7","4.8 m -   11 m","bK17FA2U"
"(2018 DQ)","2018-Feb-21 12:16 ±    00:06","0.26 | 0.00067","0.26 | 0.00067","21.06","20.87","29.1","4.0 m -  9.0 m","bK18D00Q"
"(2015 VU64)","2015-Nov-06 23:09 ± < 00:01","0.26 | 0.00067","0.26 | 0.00067","4.48","3.48","30.6","2.0 m -  4.5 m","bK15V64U"
"(2014 JG55)","2014-May-10 20:18 ± < 00:01","0.26 | 0.00068","0.26 | 0.00067","10.46","10.07","29.2","3.8 m -  8.6 m","bK14J55G"
"(2015 DQ224)","2015-Feb-18 01:21 ±    03:55","0.28 | 0.00072","0.26 | 0.00068","15.02","14.78","29.3","3.7 m -  8.2 m","bK15DM4Q"
